BLOCK,ROW,COLUMN,UID,Mx.Number,Genotype,StemDiam1,StemDiam2,StemDiam3,meanStemDiam,sdStemDiam,AngleInside,AngleOutside,ClumpDiam1,ClumpDiam2,meanClumpDiam,sdClumpDiam,TransectCount,FloweringIntensityLessThan50,FloweringIntensityGreaterThan50,FloweringIntensityGreaterThan80,SenescedGreaterThan80,TallestStemLigule,TallestStemFlowerbase
1,1,4,27827, - Mx 1553#1,1,4,3,5,4,1,0,4,17,16,17,1,11,NA,NA,NA,NA,47,NA
2,7,6,27954, - Mx 1553#1,1,7,7,6,6,1,10,9,13,14,14,1,4,NA,NA,NA,NA,40,NA
3,4,3,28026, - Mx 1553#1,1,8,7,7,7,1,0,8,19,20,20,1,7,NA,NA,NA,y,59,NA
1,3,12,27896, - Mx 1553#2,2,6,6,7,6,0,0,7,14,20,17,4,8,y,NA,NA,NA,79,80
2,9,3,27929, - Mx 1553#2,2,7,7,6,7,1,0,7,12,13,13,1,4,y,NA,NA,NA,72,64
3,3,6,28051, - Mx 1553#2,2,6,7,7,7,1,20,7,23,16,20,5,2,y,NA,NA,NA,75,72
1,2,4,27828, - Mx 1553#3,3,7,6,5,6,1,0,7,25,23,24,1,9,NA,NA,NA,NA,48,NA
2,6,4,27935, - Mx 1553#3,3,6,9,8,8,2,10,12,23,23,23,0,2,NA,NA,NA,NA,47,NA
3,1,10,28083, - Mx 1553#3,3,8,6,7,7,1,5,7,12,16,14,3,6,NA,NA,NA,NA,46,NA
1,2,10,27879, - Mx 1553#4,4,5,6,4,5,1,0,7,25,24,25,1,9,y,NA,NA,NA,76,73
2,3,2,27914, - Mx 1553#4,4,6,7,5,6,1,10,7,12,9,11,2,2,NA,y,NA,NA,81,86
3,8,2,28021, - Mx 1553#4,4,7,5,7,6,1,10,7,17,16,17,1,6,y,NA,NA,NA,73,73
1,4,9,27873, - Mx 1553#5,5,6,4,4,5,1,0,4,10,8,9,1,3,NA,NA,NA,y,10,NA
2,7,7,27962, - Mx 1553#5,5,4,6,5,5,1,0,13,19,16,18,2,2,NA,NA,NA,NA,10,NA
3,2,12,28102, - Mx 1553#5,5,8,4,3,5,3,10,9,8,3,6,4,1,NA,NA,NA,y,6,NA
1,2,7,27853, - Mx 1553#6,6,6,6,5,5,1,0,9,16,17,17,1,6,NA,y,NA,NA,75,73
2,4,7,27959, - Mx 1553#6,6,5,5,4,4,0,0,7,10,8,9,1,3,NA,y,NA,NA,52,51
3,9,1,28014, - Mx 1553#6,6,5,6,7,6,1,0,9,24,23,24,1,4,NA,y,NA,NA,81,79
1,3,11,27888, - Mx 1553#7,7,6,5,5,5,1,0,9,16,15,16,1,8,y,NA,NA,NA,67,63
2,5,12,28001, - Mx 1553#7,7,5,4,5,5,1,5,7,19,15,17,3,9,y,NA,NA,NA,74,72
3,4,9,28077, - Mx 1553#7,7,5,5,5,5,1,10,8,15,15,15,0,4,NA,y,NA,y,70.5,70
1,5,8,27865, - Mx 1553#8,8,5,6,7,6,1,0,7,18,19,19,1,11,NA,NA,NA,NA,49,NA
2,5,6,27952, - Mx 1553#8,8,6,6,5,6,1,20,11,24,20,22,3,7,NA,NA,NA,NA,49,NA
3,9,11,28100, - Mx 1553#8,8,7,6,6,6,0,0,8,28,27,28,1,7,NA,NA,NA,NA,58,NA
1,9,7,27860, - Mx 1553#9,9,5,5,5,5,1,0,8,8,12,10,3,2,NA,NA,NA,NA,43,40
2,6,2,27917, - Mx 1553#9,9,6,6,6,6,0,5,9,13,10,12,2,4,NA,NA,NA,y,29,NA
3,2,5,28041, - Mx 1553#9,9,3,3,4,3,0,0,4,7,5,6,1,4,NA,NA,NA,NA,19,NA
1,4,12,27897, - Mx 1553#10,10,7,6,5,6,1,0,9,27,27,27,0,9,y,NA,NA,NA,86,81
2,1,1,27903, - Mx 1553#10,10,7,6,6,6,1,10,12,25,23,24,1,4,NA,NA,y,NA,93,90
3,6,2,28019, - Mx 1553#10,10,6,6,8,7,1,0,11,13,20,17,5,9,y,NA,NA,NA,81,74
1,9,2,27818, - Mx 1553#11,11,7,7,5,7,1,0,7,15,15,15,0,4,NA,y,NA,NA,87,79
2,6,11,27993, - Mx 1553#11,11,6,6,7,6,1,0,12,17,17,17,0,3,y,NA,NA,NA,88,84
2,9,1,27911, - Mx 1553#11,11,5,5,8,6,2,25,9,7,5,6,1,2,y,NA,NA,y,92,83
3,7,2,28020, - Mx 1553#11,11,7,8,7,7,1,10,8,14,11,13,2,5,NA,y,NA,NA,97,86
3,7,8,28071, - Mx 1553#11,11,6,6,7,6,0,20,11,17,19,18,1,7,NA,y,NA,NA,99,91
1,2,1,27802, - Mx 1553#12,12,5,4,5,5,0,0,9,22,20,21,1,12,y,NA,NA,NA,79,89
2,9,9,27980, - Mx 1553#12,12,5,5,5,5,0,0,9,18,18,18,0,14,y,NA,NA,NA,77,70
3,7,6,28054, - Mx 1553#12,12,4,4,5,5,1,0,8,19,21,20,1,12,y,NA,NA,NA,111,116
1,7,7,27858, - Mx 1553#14,14,6,5,6,5,1,0,14,12,6,9,4,1,NA,NA,NA,NA,40,NA
2,5,9,27977, - Mx 1553#14,14,7,6,7,6,0,15,9,27,28,28,1,7,NA,y,NA,NA,97,89
3,1,4,28032, - Mx 1553#14,14,5,5,5,5,0,30,15,11,11,11,0,8,y,NA,NA,NA,74,68
1,4,5,27838, - Mx 1553#15,15,5,6,6,6,1,20,9,21,25,23,3,3,NA,NA,y,y,111,103
3,6,4,28036, - Mx 1553#15,15,6,6,7,6,0,10,9,16,16,16,0,8,y,NA,NA,NA,81,81
1,7,9,27876, - Mx 1553#16,16,5,7,6,6,1,0,7,20,18,19,1,5,NA,NA,y,NA,61,71
2,3,9,27975, - Mx 1553#16,16,6,7,4,6,1,0,7,10,10,10,0,6,y,NA,NA,NA,49,49
3,5,8,28069, - Mx 1553#16,16,5,6,6,6,0,10,5,18,15,17,2,3,y,NA,NA,NA,69,70
1,5,1,27805, - Mx 1553#17,17,7,6,7,7,1,0,6,19,19,19,0,4,y,NA,NA,NA,65.5,57
2,7,4,27936, - Mx 1553#17,17,5,7,4,5,1,25,NA,5,7,6,1,1,NA,NA,y,y,87,84
3,8,5,28047, - Mx 1553#17,17,7,6,8,7,1,0,4,11,14,13,2,4,y,NA,NA,NA,71,76
1,8,9,27877, - Mx 1553#18,18,5,5,5,5,0,10,8,20,19,20,1,12,NA,NA,y,NA,91,88
2,7,1,27909, - Mx 1553#18,18,6,6,4,5,1,0,12,16,17,17,1,7,NA,y,NA,NA,88,88
3,6,6,28053, - Mx 1553#18,18,5,6,6,6,1,20,11,29,21,25,6,8,NA,y,NA,NA,82,77
1,8,3,27825, - Mx 1553#19,19,5,4,4,5,1,0,8,18,16,17,1,8,y,NA,NA,NA,73.5,73.3
2,9,12,28005, - Mx 1553#19,19,8,6,7,7,1,0,9,15,12,13,2,4,NA,y,NA,NA,79,83.5
3,8,12,28107, - Mx 1553#19,19,5,7,6,6,1,20,11,14,10,12,3,4,NA,NA,NA,NA,42,NA
3,8,7,28063, - Mx 1553#20,20,5,6,7,6,1,10,9,15,11,13,3,4,NA,NA,NA,NA,33,NA
1,5,9,27874, - Mx 1553#22,22,5,6,6,6,0,0,9,22,22,22,0,11,NA,y,NA,NA,99,100
2,3,7,27958, - Mx 1553#22,22,5,5,6,5,0,0,9,23,20,22,2,7,NA,y,NA,NA,77,102
3,5,4,28035, - Mx 1553#22,22,6,5,6,6,0,20,9,20,21,21,1,5,NA,NA,y,NA,73,105.5
1,3,5,27837, - Mx 1553#23,23,6,6,5,6,1,0,9,16,16,16,0,6,NA,NA,y,NA,82,99
2,7,9,27978, - Mx 1553#23,23,6,7,7,7,1,5,8,24,20,22,3,4,NA,NA,y,NA,87,92
3,2,1,28007, - Mx 1553#23,23,7,7,9,7,1,0,9,15,19,17,3,3,NA,NA,y,NA,87,84
1,4,1,27804, - Mx 1553#24,24,6,5,5,5,0,20,10,20,19,20,1,9,NA,NA,y,NA,117,112.5
2,5,8,27969, - Mx 1553#24,24,6,5,7,6,1,5,8,19,17,18,1,7,NA,y,NA,NA,125,122
3,2,9,28075, - Mx 1553#24,24,7,7,6,7,1,20,7,14,15,15,1,3,y,NA,NA,NA,91,84
1,1,3,27819, - Mx 1553#25,25,6,4,6,5,1,5,13,23,14,18,6,4,y,NA,NA,NA,80,62
2,3,3,27923, - Mx 1553#25,25,6,5,5,5,1,10,5,15,21,18,4,3,y,NA,NA,NA,65,56
3,4,4,28034, - Mx 1553#25,25,7,7,7,7,0,0,12,19,17,18,1,4,NA,NA,NA,NA,27,NA
2,6,5,27944, - Mx 1553#26,26,4,7,4,5,2,0,1,5,3,4,1,NA,NA,NA,NA,NA,8.5,NA
3,6,8,28070, - Mx 1553#26,26,3,6,2,4,2,0,5,0,0,0,0,1,NA,NA,NA,NA,7,NA
1,8,1,27808, - Mx 1553#27,27,6,5,6,6,0,0,9,13,16,15,2,6,NA,NA,NA,y,30,NA
2,3,1,27905, - Mx 1553#27,27,5,6,4,5,1,5,9,11,9,10,1,2,NA,NA,NA,NA,35,NA
3,7,11,28098, - Mx 1553#27,27,6,6,6,6,0,15,9,14,13,14,1,3,NA,NA,NA,NA,34,NA
1,1,7,27852, - Mx 1553#28,28,5,4,5,5,1,0,4,10,14,12,3,4,NA,NA,NA,NA,40.5,NA
3,3,8,28067, - Mx 1553#28,28,5,6,7,6,1,0,4,12,9,11,2,4,y,NA,NA,NA,68,50
1,4,4,27829, - Mx 1553#32,32,5,6,4,5,1,0,7,11,10,11,1,5,NA,NA,NA,NA,37,NA
2,6,1,27908, - Mx 1553#32,32,5,5,5,5,0,15,11,22,24,23,1,3,y,NA,NA,NA,72,NA
3,1,11,28092, - Mx 1553#32,32,6,3,5,5,1,10,9,15,16,15,1,4,NA,NA,NA,NA,37,NA
1,8,4,27833, - Mx 1553#34,34,6,5,4,5,1,5,7,17,16,17,1,6,y,NA,NA,NA,52,51
2,9,4,27938, - Mx 1553#34,34,6,6,6,6,0,0,7,12,14,13,2,5,NA,y,NA,NA,56,53
3,3,3,28025, - Mx 1553#34,34,5,4,8,6,2,20,12,13,11,12,1,8,NA,y,NA,NA,53,54
1,9,4,27834, - Mx 1553#35,35,6,6,7,6,1,0,8,14,13,14,1,7,NA,NA,NA,NA,43,NA
2,4,12,28000, - Mx 1553#35,35,5,8,6,6,2,10,7,17,20,19,2,3,NA,NA,NA,NA,59,NA
3,9,10,28091, - Mx 1553#35,35,7,7,6,7,1,15,11,13,20,17,5,5,NA,NA,NA,NA,40,NA
1,2,6,27844, - Mx 1553#36,36,7,7,5,6,1,0,5,13,11,12,1,8,y,NA,NA,NA,91,91
2,6,10,27986, - Mx 1553#36,36,7,6,6,6,0,0,7,19,20,20,1,5,y,NA,NA,NA,103,97
3,7,9,28080, - Mx 1553#36,36,5,6,7,6,1,0,4,23,24,24,1,6,NA,NA,NA,NA,91,NA
1,3,6,27845, - Mx 1553#37,37,7,7,7,7,0,10,12,14,11,13,2,5,NA,y,NA,NA,76,65
3,3,7,28058, - Mx 1553#37,37,8,9,6,8,1,10,7,20,17,19,2,3,y,NA,NA,NA,75,66
1,6,7,27857, - Mx 1553#39,39,7,6,6,6,0,0,5,14,15,15,1,8,NA,y,NA,NA,95.5,89
2,4,4,27933, - Mx 1553#39,39,6,6,5,6,0,0,7,16,15,16,1,11,y,NA,NA,NA,79,82
3,9,7,28064, - Mx 1553#39,39,5,7,5,6,1,0,7,11,10,11,1,8,y,NA,NA,NA,69,53
1,7,5,27841, - Mx 1553#40,40,4,6,5,5,1,0,7,11,7,9,3,2,NA,NA,NA,NA,32,NA
2,2,8,27966, - Mx 1553#40,40,4,5,5,5,0,0,4,17,18,17,1,9,NA,NA,NA,NA,48,NA
3,8,9,28081, - Mx 1553#40,40,5,5,6,5,1,0,7,20,19,20,1,5,NA,NA,NA,NA,49,NA
1,8,7,27859, - Mx 1553#41,41,8,6,6,6,1,0,14,15,13,14,1,8,NA,NA,NA,NA,65,NA
2,7,10,27987, - Mx 1553#41,41,5,5,7,6,1,30,11,20,23,22,2,5,NA,NA,NA,NA,70,NA
3,3,12,28103, - Mx 1553#41,41,7,6,5,6,1,20,12,23,23,23,0,5,y,NA,NA,NA,67,NA
1,7,4,27832, - Mx 1553#42,42,5,5,5,5,0,0,7,11,14,13,2,2,NA,y,NA,y,66,61
2,7,12,28003, - Mx 1553#42,42,6,6,4,5,1,10,7,18,17,18,1,3,NA,NA,y,y,87,89
3,9,9,28082, - Mx 1553#42,42,5,6,5,5,0,15,9,12,11,12,1,3,NA,y,NA,y,81,78
1,2,5,27836, - Mx 1553#43,43,6,6,5,6,1,0,7,13,12,13,1,5,y,NA,NA,NA,77,79
2,5,2,27916, - Mx 1553#43,43,7,7,8,7,0,0,8,25,23,24,1,4,NA,y,NA,NA,110,107
3,4,6,28052, - Mx 1553#43,43,6,6,5,6,0,10,8,25,22,24,2,6,NA,NA,NA,NA,108,107
1,7,12,27900, - Mx 1553#44,44,5,5,5,5,0,35,17,18,15,17,2,6,NA,NA,NA,NA,33,NA
2,4,5,27942, - Mx 1553#44,44,6,6,6,6,0,10,12,15,11,13,3,4,NA,NA,NA,NA,33,NA
3,5,11,28096, - Mx 1553#44,44,6,5,6,6,0,20,12,16,12,14,3,3,NA,NA,NA,NA,48,NA
1,1,5,27835, - Mx 1553#45,45,3,3,4,3,1,0,4,13,12,13,1,7,y,NA,NA,y,70,75
2,9,8,27972, - Mx 1553#45,45,5,4,5,5,1,0,12,14,13,14,1,6,y,NA,NA,y,35,37
3,4,2,28017, - Mx 1553#45,45,4,4,4,4,0,10,9,10,4,7,4,2,NA,NA,NA,NA,4,NA
1,9,5,27843, - Mx 1553#46,46,6,6,6,6,0,10,9,16,14,15,1,3,y,NA,NA,NA,73,71
2,2,6,27949, - Mx 1553#46,46,6,7,6,6,0,0,9,18,17,18,1,5,y,NA,NA,NA,66,58
3,1,8,28065, - Mx 1553#46,46,7,6,7,7,0,15,9,11,11,11,0,2,y,NA,NA,NA,62,45
1,3,1,27803, - Mx 1553#47,47,6,4,5,5,1,0,7,27,24,26,2,10,NA,NA,y,NA,81.5,85
2,5,1,27907, - Mx 1553#47,47,6,7,8,7,1,0,7,20,21,21,1,7,NA,NA,y,NA,95,101
3,3,9,28076, - Mx 1553#47,47,5,5,6,5,1,0,9,24,21,22,2,8,NA,NA,NA,y,67,55
1,1,10,27878, - Mx 1553#48,48,5,6,7,6,1,10,9,16,20,18,3,7,y,NA,NA,NA,77,78
3,2,6,28050, - Mx 1553#48,48,6,6,6,6,0,5,9,11,11,11,0,4,NA,NA,NA,y,42,NA
1,9,8,27869, - Mx 1553#49,49,7,7,7,7,0,0,7,16,26,21,7,8,y,NA,NA,NA,80,78
2,3,10,27983, - Mx 1553#49,49,9,7,8,8,1,5,9,25,34,30,6,5,NA,NA,NA,NA,40,NA
3,6,5,28045, - Mx 1553#49,49,7,7,6,7,1,30,9,16,22,19,4,4,NA,NA,NA,NA,46,NA
1,9,1,27809, - Mx 1553#50,50,4,6,6,5,1,45,16,9,7,8,1,NA,NA,NA,NA,NA,17,NA
2,4,6,27951, - Mx 1553#50,50,7,5,6,6,1,0,9,15,14,15,1,6,NA,NA,NA,y,29,NA
3,5,12,28105, - Mx 1553#50,50,6,7,6,6,0,30,12,28,22,25,4,3,NA,NA,NA,y,37,NA
1,5,6,27847, - Mx 1553#51,51,5,4,5,5,1,0,14,10,10,10,0,6,NA,NA,NA,y,27,NA
2,5,7,27960, - Mx 1553#51,51,5,4,6,5,1,20,12,16,11,14,4,4,NA,NA,NA,y,30,NA
3,1,7,28056, - Mx 1553#51,51,5,4,5,5,1,0,9,16,17,17,1,9,NA,NA,NA,y,30,NA
1,8,6,27850, - Mx 1553#53,53,8,5,5,6,2,30,4,21,20,21,1,9,NA,NA,y,NA,99,96
2,7,2,27918, - Mx 1553#53,53,6,5,4,5,1,0,7,16,17,17,1,5,NA,NA,y,NA,92,88
3,6,10,28088, - Mx 1553#53,53,7,7,6,6,0,0,5,29,24,27,4,6,NA,NA,y,NA,101,91
1,2,2,27811, - Mx 1553#55,55,5,6,3,5,1,20,7,17,13,15,3,1,NA,NA,y,y,72.5,71
2,1,4,27930, - Mx 1553#55,55,6,7,8,7,1,10,5,19,21,20,1,4,NA,y,NA,y,91,85
3,2,11,28093, - Mx 1553#55,55,9,8,9,9,1,15,9,27,23,25,3,3,NA,y,NA,y,81.5,82
1,9,10,27886, - Mx 1553#56,56,5,6,6,6,1,0,4,13,12,13,1,2,NA,NA,NA,NA,85,63
2,1,6,27948, - Mx 1553#56,56,5,5,4,5,0,10,8,11,8,10,2,1,NA,y,NA,NA,82,73
3,1,9,28074, - Mx 1553#56,56,7,7,6,7,1,0,4,18,15,17,2,4,y,NA,NA,NA,87,90
1,5,3,27823, - Mx 1553#57,57,7,6,8,7,1,20,12,31,33,32,1,6,NA,NA,y,NA,79,77
2,8,8,27971, - Mx 1553#57,57,8,6,7,7,1,10,14,11,20,16,6,5,NA,y,NA,NA,78,71
3,2,4,28033, - Mx 1553#57,57,7,5,6,6,1,20,12,16,17,17,1,1,NA,NA,y,NA,59,62
1,6,10,27883, - Mx 1553#59,59,5,6,6,6,1,50,15,16,14,15,1,7,NA,NA,NA,NA,51,NA
3,5,3,28027, - Mx 1553#59,59,5,5,5,5,1,30,12,22,23,23,1,3,NA,NA,NA,NA,45,NA
1,5,12,27898, - Mx 1553#60,60,5,5,4,5,0,0,9,22,17,20,4,10,NA,NA,NA,NA,46,NA
2,1,3,27921, - Mx 1553#60,60,5,4,5,5,1,0,11,16,14,15,1,7,y,NA,NA,NA,74,67
3,9,4,28039, - Mx 1553#60,60,6,4,5,5,1,0,8,13,11,12,1,11,y,NA,NA,NA,67,62
1,4,3,27822, - Mx 1553#61,61,6,5,5,5,0,0,9,12,13,13,1,5,y,NA,NA,y,81,87
2,9,7,27964, - Mx 1553#61,61,4,4,3,3,0,5,5,6,3,4,2,2,NA,NA,NA,NA,6,NA
3,6,11,28097, - Mx 1553#61,61,6,5,5,6,1,10,9,18,17,18,1,10,y,NA,NA,NA,73,75
1,9,6,27851, - Mx 1553#63,63,5,6,6,6,1,10,14,19,15,17,3,3,y,NA,NA,NA,89,86
2,9,5,27947, - Mx 1553#63,63,6,6,6,6,0,10,9,17,15,16,1,4,NA,NA,y,NA,87.5,88
3,6,9,28079, - Mx 1553#63,63,6,5,5,5,1,10,9,22,17,20,4,6,NA,y,NA,NA,81,73
